frame, id, x, y, z
1, 0, 1132, 2921, -0.7958019971847534
1, 1, 1086, 2991, -0.760883092880249
1, 2, 1056, 2992, -0.7609363198280334
1, 3, 1027, 2992, -0.7609643340110779
1, 4, 1180, 2989, -0.7526521682739258
1, 5, 1211, 2988, -0.7526907324790955
1, 6, 1233, 2984, -0.7526862621307373
1, 7, 972, 2965, -0.5121641159057617
1, 8, 1252, 2945, -0.4762268662452698
1, 9, 1076, 2837, -0.6997027397155762
1, 10, 1176, 2836, -0.6893958449363708
1, 11, 844, 2607, -0.35812145471572876
1, 12, 1323, 2576, -0.26864153146743774
1, 13, 766, 2205, -0.3314543068408966
1, 14, 1335, 2161, -0.25420352816581726
1, 15, 1037, 2079, -0.5413761734962463
1, 16, 1156, 2068, -0.5795347094535828
1, 17, 1105, 2007, -0.6218957901000977
1, 18, 1101, 1995, -0.6716640591621399
1, 19, 1151, 2053, -0.6410152316093445
1, 20, 1097, 2060, -0.7027987837791443
1, 21, 1136, 2067, -0.5476841926574707
1, 22, 1105, 2090, -0.5987102389335632
1, 23, 931, 1888, -0.01246475800871849
1, 24, 1225, 1868, 0.012397990562021732
1, 25, 895, 1351, 0.012724305503070354
1, 26, 1193, 1324, 0.02982264570891857
1, 27, 915, 915, 0.6130335927009583
1, 28, 1144, 892, 0.5103471875190735
1, 29, 916, 889, 0.6580012440681458
1, 30, 1137, 871, 0.5444169044494629
1, 31, 951, 667, 0.374177485704422
1, 32, 1149, 648, 0.24842162430286407
2, 0, 1132, 2921, -0.9047514796257019
2, 1, 1086, 2991, -0.8749502897262573
2, 2, 1056, 2992, -0.8749532103538513
2, 3, 1029, 2992, -0.8749791383743286
2, 4, 1181, 2990, -0.8660890460014343
2, 5, 1210, 2988, -0.866194486618042
2, 6, 1232, 2985, -0.8662659525871277
2, 7, 973, 2965, -0.6375761032104492
2, 8, 1252, 2945, -0.5956373810768127
2, 9, 1075, 2837, -0.8109985589981079
2, 10, 1176, 2836, -0.7990701794624329
2, 11, 837, 2607, -0.47353851795196533
2, 12, 1325, 2576, -0.40930309891700745
2, 13, 773, 2191, -0.4796532988548279
2, 14, 1337, 2159, -0.38255131244659424
2, 15, 1062, 2077, -0.6816022396087646
2, 16, 1074, 2073, -0.595413863658905
2, 17, 1152, 2025, -0.7606689929962158
2, 18, 1008, 1993, -0.6762735247612
2, 19, 1180, 2074, -0.7590686082839966
2, 20, 1009, 2060, -0.7021678686141968
2, 21, 1164, 2083, -0.6796295046806335
2, 22, 1032, 2090, -0.6068857312202454
2, 23, 930, 1888, -0.013087519444525242
2, 24, 1226, 1868, 0.013000180944800377
2, 25, 898, 1360, -0.0012523801997303963
2, 26, 1193, 1329, 0.06758683174848557
2, 27, 921, 917, 0.5491462349891663
2, 28, 1142, 895, 0.5389195680618286
2, 29, 925, 890, 0.589920699596405
2, 30, 1130, 872, 0.5743652582168579
2, 31, 955, 671, 0.31228893995285034
2, 32, 1144, 648, 0.30007070302963257
3, 0, 1132, 2920, -0.9188512563705444
3, 1, 1086, 2991, -0.8893026113510132
3, 2, 1056, 2992, -0.8892841339111328
3, 3, 1030, 2992, -0.8892735242843628
3, 4, 1181, 2990, -0.8797671794891357
3, 5, 1210, 2988, -0.8798852562904358
3, 6, 1232, 2986, -0.8799585700035095
3, 7, 974, 2964, -0.6529800891876221
3, 8, 1251, 2946, -0.6080394983291626
3, 9, 1075, 2837, -0.8253969550132751
3, 10, 1176, 2835, -0.8126164674758911
3, 11, 834, 2606, -0.4870184361934662
3, 12, 1325, 2576, -0.4232630431652069
3, 13, 777, 2183, -0.4848725497722626
